time,trial 1,trial 2,trial 3,trial 4,trial 5,trial 6,trial 7
26,2.3142181121517915e-06,5.0108739013177405e-06,4.3355742428396815e-06,4.500847836390001e-06,2.5358889545931133e-06,5.180240872919138e-06,9.553075524120891e-06
27,1.5425269938644194e-06,2.783696078574121e-06,2.480707959747842e-06,2.998827893276145e-06,1.4548698628882864e-06,2.666237751695069e-06,4.8092372754759904e-06
28,7.943220314196287e-07,1.6590335778450738e-06,1.4300886026030443e-06,1.6941135899681621e-06,8.001554798714767e-07,1.353546984888455e-06,3.222037950142295e-06
29,5.103346590264962e-07,9.6896889994957e-07,9.241459953469122e-07,1.1656418056242078e-06,5.029917286313455e-07,9.305551640783951e-07,2.1912784939523686e-06
30,3.096941809024037e-07,6.666271949553287e-07,5.61249644068177e-07,8.061216089610394e-07,2.877394858826063e-07,5.443840333831183e-07,1.2396158713621403e-06
31,1.993589412484003e-07,3.4066637060389585e-07,3.068051575206289e-07,4.240669856285584e-07,1.6480521578639342e-07,3.045609412969149e-07,6.71648117415908e-07
32,1.3797420490089399e-07,2.3191938548483924e-07,1.627673334957848e-07,2.3635653278400634e-07,1.045192780798133e-07,1.721785874673645e-07,3.6795965470027357e-07
33,9.177875294283931e-08,1.2195535087466664e-07,9.943358284912088e-08,1.5868003594809444e-07,5.336707507313986e-08,1.0969142882620052e-07,2.3376190453157593e-07
34,5.3252615872907455e-08,8.532407400514461e-08,5.011284961545127e-08,8.0144171478573e-08,2.8718633236856345e-08,7.531944800298424e-08,1.2258599064402586e-07
35,3.4325256835247655e-08,5.583824694758138e-08,3.3794327432993224e-08,5.4275906973163676e-08,1.7430668689612455e-08,4.257562891007014e-08,7.982108884382683e-08
36,1.7192515410572594e-08,2.837543767520751e-08,2.0638909994749383e-08,3.2832755040591994e-08,8.911074813941368e-09,2.3086905255304554e-08,4.9668116557942583e-08
37,1.0402767925560578e-08,1.936510023814536e-08,1.0915520294235435e-08,1.8917276878984623e-08,5.734665206686447e-09,1.4760721324266559e-08,2.6662920878811128e-08
38,7.185338830241569e-09,1.23388323425651e-08,7.345190404852446e-09,1.2334188359338928e-08,3.4593521577355726e-09,9.464468516468865e-09,1.768375236945564e-08
39,4.202641276865841e-09,6.617832954747813e-09,4.017488243680677e-09,7.956565129253312e-09,2.083956632924254e-09,5.762930073490514e-09,1.1148490227395518e-08
40,2.2050068965832505e-09,3.559237095827728e-09,2.60392145134285e-09,4.538111271832577e-09,1.2109972120129842e-09,3.6811056139995643e-09,5.96606656643718e-09
41,1.3948261330154325e-09,2.195695885919867e-09,1.634973528029863e-09,2.5065582414920383e-09,6.650014304983208e-10,1.889384754413322e-09,4.092571185989431e-09
42,9.5898175281917e-10,1.442258488706482e-09,9.047291286149876e-10,1.2966137617628984e-09,3.6390712137737285e-10,1.2937274122103599e-09,2.483265659254536e-09
43,4.949606635207823e-10,8.983024668923093e-10,4.721215834147233e-10,7.333263564112867e-10,2.429780945920301e-10,6.955036557045263e-10,1.6823218093405299e-09
44,2.659754651465729e-10,5.266111716335247e-10,2.532569912845657e-10,4.752213457019294e-10,1.5182711342200102e-10,4.0859471302556496e-10,8.677483559466685e-10
45,1.730874100042278e-10,3.627366082232746e-10,1.2870822787691547e-10,2.492576650303629e-10,9.378125397249487e-11,2.648422880030661e-10,4.553536380080825e-10
46,1.2096318458146363e-10,2.3115191910939425e-10,6.825056554800622e-11,1.600229214353424e-10,6.06223253909823e-11,1.488353564594641e-10,2.7989124590565226e-10
47,6.268156062075779e-11,1.2493143267257415e-10,4.029952910865182e-11,8.453162026632294e-11,4.10430268894496e-11,9.292546239489385e-11,1.4974348555633064e-10
48,4.185590173250289e-11,7.133903104492684e-11,2.7030734179031165e-11,5.6548411557534055e-11,2.616459213010685e-11,5.965271804947363e-11,9.791601542306723e-11
49,2.6389594140336775e-11,3.705063142187618e-11,1.5588839074939083e-11,2.966503862792602e-11,1.3224512003715615e-11,3.427304885213668e-11,6.442594323094717e-11
50,1.611056258420048e-11,2.055296496836859e-11,8.61660291059715e-12,1.6900842676594045e-11,8.600311820794563e-12,2.23589171635811e-11,3.266529322240985e-11
